uid,Пол,ДатаРождения,ДатаПриема,УИН Подразделения,ЭтоРуководитель,Место рождения,Должность
u1022,ж,28.05.1956,01.01.2009,fc8f3b92-e535-11e1-a52a-001b789beaf2,0,Москва,Менеджер по товародвижению
u1023,ж,28.05.1956,01.01.2009,fc8f3b92-e535-11e1-a52a-001b789beaf2,0,Москва,Менеджер по товародвижению
u1024,ж,28.05.1956,01.01.2009,fc8f3b92-e535-11e1-a52a-001b789beaf2,0,Москва,Менеджер по товародвижению
u164,ж,11.09.1984,01.01.2014,,0,Москва,Менеджер по развитию розничной сети
u2117,м,10.11.1959,01.01.2014,dd63a709-6cfc-11e0-a872-001b789beaf2,0,Москва,Курьер
u22,ж,07.11.1957,01.02.2006,a758165c-8aa7-11e0-bf4a-001b789beaf2,0,Александровка,Кладовщик
u54,м,25.03.1984,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Аргудан,Охранник
u82,м,13.11.1954,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,АШХАБАД,Охранник
u83,м,13.11.1954,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,АШХАБАД,Охранник
u272,ж,04.07.1986,01.02.2011,18b99ef2-6f19-11e0-a872-001b789beaf2,0,Вьзьма,Руководитель проекта по реорганизации системы документооборота
u273,ж,04.07.1986,01.02.2011,18b99ef2-6f19-11e0-a872-001b789beaf2,0,Вьзьма,Руководитель проекта по реорганизации системы документооборота
u274,ж,04.07.1986,01.02.2011,18b99ef2-6f19-11e0-a872-001b789beaf2,0,Вьзьма,Руководитель проекта по реорганизации системы документооборота
u707,м,23.04.1969,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Касумкент,Охранник
u708,м,23.04.1969,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Касумкент,Охранник
u1165,м,15.08.1958,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Москва,Охранник
u1166,м,15.08.1958,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Москва,Охранник
u1233,м,28.03.1989,01.02.2011,dd63a71c-6cfc-11e0-a872-001b789beaf2,0,Москва,Курьер
u1234,м,28.03.1989,01.02.2011,dd63a71c-6cfc-11e0-a872-001b789beaf2,0,Москва,Курьер
u1235,м,28.03.1989,01.02.2011,dd63a71c-6cfc-11e0-a872-001b789beaf2,0,Москва,Курьер
u1516,м,31.10.1980,01.02.2011,dd63a71a-6cfc-11e0-a872-001b789beaf2,0,Петряксы,Курьер
u1567,м,28.03.1965,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Псарева,Охранник
u1568,м,28.03.1965,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Псарева,Охранник
u1857,м,05.08.1980,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Таловка,Охранник
u1858,м,05.08.1980,01.02.2011,57cd36d0-3abe-11e2-b37d-001b789beaf2,0,Таловка,Охранник
u1293,ж,09.08.1978,01.02.2012,0916f720-0132-11e1-80c2-001b789beaf2,0,Мурманск,Продавец-кассир
u2012,ж,08.08.1973,01.02.2012,e0cee813-5c8b-11e1-933a-001b789beaf2,1,Челябинск,Управляющий
u232,ж,07.08.1978,01.02.2013,9cbea42d-727a-11e0-a872-001b789beaf2,0,Волжский,Продавец-кассир
u310,ж,27.05.1969,01.02.2013,c48b25c6-7fb8-11e1-933a-001b789beaf2,1,Муром,Руководитель отдела
u979,ж,14.07.1981,01.03.2011,dd63a72c-6cfc-11e0-a872-001b789beaf2,0,Москва,Старший бухгалтер
u1376,ж,05.01.1977,01.03.2012,18799ae0-7286-11e0-a872-001b789beaf2,0,Новосибирск,Продавец-кассир
u2101,м,01.01.1980,01.03.2012,c48b25e0-7fb8-11e1-933a-001b789beaf2,0,Москва,Водитель
u2118,ж,01.01.1980,01.03.2012,c48b25e0-7fb8-11e1-933a-001b789beaf2,0,Москва,Водитель
u373,ж,21.03.1985,01.03.2013,18799aef-7286-11e0-a872-001b789beaf2,0,Элиста,Старший продавец-кассир
u2086,ж,19.02.1992,01.03.2013,f2026a08-616d-11e3-a917-ac162d794eee,0,Ярославль,Старший продавец-кассир
u1861,ж,18.11.1973,01.03.2014,2872f097-722e-11e0-a872-001b789beaf2,0,Москва,Продавец-консультант
u1917,ж,10.05.1987,01.03.2014,2872f097-722e-11e0-a872-001b789beaf2,0,Канаш,Старший продавец-консультант
u5,ж,24.02.1982,01.04.2011,9cbea441-727a-11e0-a872-001b789beaf2,0,А. Красноалександровский,Старший продавец-кассир
u11,ж,13.05.1985,01.04.2011,18799af6-7286-11e0-a872-001b789beaf2,0,Агрогородок,Продавец-кассир
u15,ж,10.01.1979,01.04.2011,9cbea435-727a-11e0-a872-001b789beaf2,1,Азов,Управляющий
u16,ж,15.07.1984,01.04.2011,18799ae4-7286-11e0-a872-001b789beaf2,1,Акатьево,Управляющий
u17,ж,07.01.1982,01.04.2011,9cbea406-727a-11e0-a872-001b789beaf2,0,Алапаевск,Старший продавец-кассир
u18,ж,11.02.1990,01.04.2011,18799af1-7286-11e0-a872-001b789beaf2,0,Алапаевск,Старший продавец-кассир
u19,ж,11.02.1990,01.04.2011,18799af1-7286-11e0-a872-001b789beaf2,0,Алапаевск,Старший продавец-кассир
