uid,Должность,Балл,Месяц
u992,Продавец-кассир,"99,4",май.13
u992,Продавец-кассир,0,июн.13
u992,Продавец-кассир,"94,77",июл.13
u992,Продавец-кассир,0,авг.13
u992,Продавец-кассир,"98,78",сен.13
u992,Продавец-кассир,0,окт.13
u992,Продавец-кассир,100,ноя.13
u992,Продавец-кассир,100,дек.13
u992,Продавец-кассир,0,янв.14
u992,Продавец-кассир,100,фев.14
u992,Продавец-кассир,0,мар.14
u992,Продавец-кассир,"96,61",апр.14
u990,Продавец,0,фев.14
u990,Продавец-кассир,0,мар.14
u990,Продавец-кассир,0,апр.14
u99,Продавец,0,мар.14
u99,Продавец,0,апр.14
u989,Старший продавец-кассир,"94,74",май.13
u989,Старший продавец-кассир,93436667,июн.13
u989,Старший продавец-кассир,0,июл.13
u989,Старший продавец-кассир,100,авг.13
u989,Старший продавец-кассир,"96,59",сен.13
u989,Старший продавец-кассир,"92,5",окт.13
u989,Старший продавец-кассир,"98,33",ноя.13
u989,Старший продавец-кассир,"86,67",дек.13
u989,Старший продавец-кассир,0,янв.14
u989,Старший продавец-кассир,0,фев.14
u989,Старший продавец-кассир,"88,14",мар.14
u989,Старший продавец-кассир,"98,31",апр.14
u986,Продавец,0,фев.14
u986,Продавец,"96,61",мар.14
u986,Продавец,0,апр.14
u984,Продавец-кассир,0,май.13
u984,Продавец-кассир,0,июн.13
u984,Продавец-кассир,0,июл.13
u984,Продавец-кассир,0,авг.13
u984,Продавец-кассир,0,сен.13
u984,Продавец-кассир,0,окт.13
u984,Продавец-кассир,0,ноя.13
u984,Продавец-кассир,0,дек.13
u984,Продавец-кассир,0,янв.14
u984,Продавец-кассир,0,фев.14
u984,Продавец-кассир,0,мар.14
u984,Продавец-кассир,0,апр.14
u983,Старший продавец-кассир,"91,62",май.13
u983,Старший продавец-кассир,0,июн.13
u983,Старший продавец-кассир,100,июл.13
u983,Старший продавец-кассир,0,авг.13
u983,Старший продавец-кассир,0,сен.13
u983,Старший продавец-кассир,0,окт.13
u983,Старший продавец-кассир,97776667,ноя.13
u983,Старший продавец-кассир,0,дек.13
u983,Старший продавец-кассир,"98,33",янв.14
u983,Старший продавец-кассир,0,фев.14
u983,Старший продавец-кассир,"94,92",мар.14
u983,Старший продавец-кассир,0,апр.14
u98,Продавец,0,окт.13
u98,Продавец,0,ноя.13
u98,Продавец-кассир,0,дек.13
u98,Продавец-кассир,0,янв.14
u98,Продавец-кассир,0,фев.14
u98,Продавец-кассир,"91,53",мар.14
u98,Продавец-кассир,0,апр.14
u977,Старший продавец-кассир,0,май.13
u977,Старший продавец-кассир,"92,06",июн.13
u977,Старший продавец-кассир,0,июл.13
u977,Старший продавец-кассир,0,авг.13
u977,Старший продавец-кассир,0,сен.13
u977,Старший продавец-кассир,0,окт.13
u977,Старший продавец-кассир,0,ноя.13
u977,Старший продавец-кассир,0,дек.13
u977,Старший продавец-кассир,0,янв.14
u977,Старший продавец-кассир,0,фев.14
u977,Старший продавец-кассир,0,мар.14
u977,Старший продавец-кассир,0,апр.14
u976,Старший продавец-кассир,0,май.13
u976,Старший продавец-кассир,"91,8",июн.13
u976,Старший продавец-кассир,0,июл.13
u976,Старший продавец-кассир,0,авг.13
u976,Старший продавец-кассир,0,сен.13
u976,Старший продавец-кассир,"96,3",окт.13
u976,Старший продавец-кассир,"88,33",ноя.13
u976,Старший продавец-кассир,"93,33",дек.13
u976,Старший продавец-кассир,0,янв.14
u976,Старший продавец-кассир,"96,05",фев.14
u976,Старший продавец-кассир,100,мар.14
u976,Старший продавец-кассир,0,апр.14
u975,Продавец-кассир,"91,23",май.13
u975,Продавец-кассир,"67,24",июн.13
u975,Продавец-кассир,0,июл.13
u975,Продавец-кассир,"78,13",авг.13
u975,Продавец-кассир,"75,64",сен.13
u975,Продавец-кассир,"95,23",окт.13
u975,Продавец-кассир,"98,33",ноя.13
u975,Продавец-кассир,"91,66",дек.13
u975,Продавец-кассир,0,янв.14
u975,Продавец-кассир,0,фев.14
u975,Продавец-кассир,100,мар.14
u975,Продавец-кассир,"96,61",апр.14
u974,Продавец-кассир,0,май.13
u974,Продавец-кассир,0,июн.13
u974,Продавец-кассир,0,июл.13
u974,Продавец-кассир,0,авг.13
u974,Продавец-кассир,0,сен.13
u974,Продавец-кассир,0,окт.13
u974,Продавец-кассир,0,ноя.13
u974,Продавец-кассир,0,дек.13
u974,Продавец-кассир,0,янв.14
u974,Продавец-кассир,0,фев.14
u974,Продавец-кассир,0,мар.14
u974,Продавец-кассир,0,апр.14
u968,Продавец-кассир,100,май.13
u968,Продавец-кассир,95615,июн.13
u968,Продавец-кассир,0,июл.13
u968,Продавец-кассир,100,авг.13
u968,Продавец-кассир,"32,14",сен.13
u968,Продавец-кассир,"98,8",окт.13
u968,Продавец-кассир,99165,ноя.13
u968,Продавец-кассир,96665,дек.13
u968,Продавец-кассир,"99,17",янв.14
u968,Продавец-кассир,0,фев.14
u968,Продавец-кассир,0,мар.14
u968,Продавец-кассир,0,апр.14
u967,Старший продавец-кассир,"90,36",май.13
u967,Старший продавец-кассир,"96,83",июн.13
u967,Старший продавец-кассир,"58,14",июл.13
u967,Старший продавец-кассир,0,авг.13
u967,Старший продавец-кассир,"96,59",сен.13
u967,Старший продавец-кассир,0,окт.13
u967,Старший продавец-кассир,0,ноя.13
u967,Старший продавец-кассир,0,дек.13
u967,Старший продавец-кассир,"91,67",янв.14
u967,Старший продавец-кассир,"88,99",фев.14
u967,Старший продавец-кассир,"98,31",мар.14
u967,Старший продавец-кассир,"95,76",апр.14
u966,Продавец-кассир,0,май.13
u966,Продавец-кассир,0,июн.13
