uid,План сотрудника,Факт сотрудника,% вып-я,Число_чеков,Ср.чек,месяц
u48,186 000,115 180,"61,92",18,6 399,апр.13
u1425,275 400,546 061,"198,28",46,11 871,апр.13
u759,275 400,419 891,"152,47",48,8 748,апр.13
u121,275 400,379 760,"137,89",44,8 631,апр.13
u1701,560 600,653 806,"116,63",77,8 491,апр.13
u1231,560 600,621 218,"110,81",73,8 510,апр.13
u620,247 800,150 438,"60,71",22,6 838,апр.13
u553,428 000,621 491,"145,21",43,14 453,апр.13
u567,428 000,619 914,"144,84",62,9 999,апр.13
u136,428 000,503 833,"117,72",32,15 745,апр.13
u1206,232 750,128 564,"55,24",16,8 035,апр.13
u114,648 750,896 695,"138,22",91,9 854,апр.13
u1118,648 750,925 090,"142,60",81,11 421,апр.13
u1780,718 750,720 521,"100,25",59,12 212,апр.13
u1866,718 750,454 863,"63,29",38,11 970,апр.13
u1125,718 750,723 040,"100,60",65,11 124,апр.13
u1500,718 750,935 637,"130,18",86,10 879,апр.13
u827,385 000,83 508,"21,69",11,7 592,апр.13
u527,385 000,439 291,"114,10",52,8 448,апр.13
u1950,385 000,372 368,"96,72",39,9 548,апр.13
u1005,1 180 000,1 078 430,"91,39",107,10 079,апр.13
u1089,1 180 000,1 018 905,"86,35",91,11 197,апр.13
u497,1 180 000,1 062 413,"90,04",92,11 548,апр.13
u1308,685 400,838 841,"122,39",69,12 157,апр.13
u596,685 400,716 934,"104,60",66,10 863,апр.13
u1124,685 400,699 924,"102,12",66,10 605,апр.13
u1215,685 400,720 531,"105,13",77,9 358,апр.13
u624,600 250,888 511,"148,02",104,8 543,апр.13
u502,592 750,666 236,"112,40",76,8 766,апр.13
u1892,592 750,714 006,"120,46",77,9 273,апр.13
u330,592 750,485 096,"81,84",63,7 700,апр.13
u1393,592 750,974 965,"164,48",102,9 558,апр.13
u21,867 250,1 080 525,"124,59",102,10 593,апр.13
u75,867 250,168 880,"19,47",25,6 755,апр.13
u1478,649 750,777 699,"119,69",72,10 801,апр.13
u1185,649 750,846 690,"130,31",79,10 718,апр.13
u1209,649 750,763 498,"117,51",71,10 753,апр.13
u976,657 800,459 630,"69,87",57,8 064,апр.13
u1006,657 800,617 198,"93,83",67,9 212,апр.13
u1825,657 800,664 072,"100,95",83,8 001,апр.13
u1077,657 800,690 197,"104,93",92,7 502,апр.13
u983,629 750,642 984,"102,10",68,9 456,апр.13
u1066,629 750,658 861,"104,62",73,9 025,апр.13
u1256,629 750,730 045,"115,93",81,9 013,апр.13
u1129,629 750,207 953,"33,02",35,5 942,апр.13
u1047,363 500,455 857,"125,41",36,12 663,апр.13
u1803,363 500,489 301,"134,61",36,13 592,апр.13
u356,575 200,357 972,"62,23",32,11 187,апр.13
u817,575 200,811 855,"141,14",63,12 887,апр.13
u1175,575 200,679 559,"118,14",65,10 455,апр.13
u91,575 200,828 974,"144,12",60,13 816,апр.13
u654,662 500,919 025,"138,72",72,12 764,апр.13
u1056,493 750,464 033,"93,98",42,11 048,апр.13
u319,493 750,526 605,"106,65",65,8 102,апр.13
u968,800 000,791 189,"98,90",82,9 649,апр.13
u992,800 000,780 979,"97,62",83,9 409,апр.13
u2024,800 000,791 875,"98,98",84,9 427,апр.13
u196,800 000,788 029,"98,50",88,8 955,апр.13
u2046,514 250,368 453,"71,65",45,8 188,апр.13
u559,514 250,486 690,"94,64",44,11 061,апр.13
u1700,379 500,367 644,"96,88",50,7 353,апр.13
u1026,379 500,262 491,"69,17",39,6 731,апр.13
u780,757 500,740 093,"97,70",70,10 573,апр.13
u947,757 500,749 246,"98,91",85,8 815,апр.13
u1075,775 000,488 915,"63,09",64,7 639,апр.13
u1299,775 000,753 179,"97,18",87,8 657,апр.13
u1970,775 000,722 372,"93,21",70,10 320,апр.13
u919,775 000,766 234,"98,87",79,9 699,апр.13
u989,535 500,712 567,"133,07",66,10 796,апр.13
u804,535 500,713 718,"133,28",83,8 599,апр.13
u1258,535 500,395 125,"73,79",45,8 781,апр.13
u1937,941 167,1 182 671,"125,66",102,11 595,апр.13
u2053,941 167,1 157 899,"123,03",100,11 579,апр.13
u611,941 167,1 309 874,"139,18",121,10 825,апр.13
u1112,941 167,1 345 633,"142,97",98,13 731,апр.13
u1200,941 167,1 097 240,"116,58",110,9 975,апр.13
u1341,941 167,730 496,"77,62",63,11 595,апр.13
u923,680 500,783 401,"115,12",73,10 732,апр.13
u709,680 500,568 352,"83,52",79,7 194,апр.13
u1878,680 500,619 856,"91,09",73,8 491,апр.13
u1992,536 750,559 056,"104,16",58,9 639,апр.13
u2011,900 000,1 454 909,"161,66",90,16 166,апр.13
u344,900 000,215 075,"23,90",32,6 721,апр.13
u1466,900 000,1 113 757,"123,75",81,13 750,апр.13
u282,900 000,993 516,"110,39",78,12 737,апр.13
u2059,900 000,1 490 533,"165,61",112,13 308,апр.13
u1621,414 500,649 633,"156,73",80,8 120,апр.13
u1681,414 500,166 783,"40,24",21,7 942,апр.13
u78,693 750,601 126,"86,65",64,9 393,апр.13
u623,693 750,649 555,"93,63",71,9 149,апр.13
