uid,наименование программы,is_webinar,Дата,фактическое количество часов,Оцека (если предусмотрена курсом),uid тренера
u1927,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен
u1823,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен
u1675,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен
u1622,Tefal_Знакомство с Компанией,0,2014.2.18,,0,не установлен
u988,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен
u848,Tefal_Знакомство с Компанией,0,2014.3.31,,0,не установлен
u673,Tefal_Знакомство с Компанией,0,2014.2.14,,0,не установлен
u673,Tefal_Знакомство с Компанией,0,2014.02.10,,0,не установлен
u427,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен
u405,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен
u1783,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен
u1723,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен
u1652,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен
u1628,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен
u1628,Tefal_Знакомство с Компанией,0,2014.2.26,,0,не установлен
u1628,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен
u1566,Tefal_Знакомство с Компанией,0,2014.3.17,,0,не установлен
u1314,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен
u1314,Tefal_Знакомство с Компанией,0,2014.2.26,,0,не установлен
u1314,Tefal_Знакомство с Компанией,0,2014.2.24,,0,не установлен
u1009,Tefal_Знакомство с Компанией,0,2014.1.30,,0,не установлен
u816,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен
u1981,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен
u1596,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен
u1556,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен
u1476,Tefal_Знакомство с Компанией,0,2014.06.06,8,,не установлен
u815,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен
u615,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен
u570,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен
u128,Tefal_Знакомство с Компанией,0,2014.7.14,8,,не установлен
u978,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен
u914,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен
u85,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен
u449,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен
u432,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен
u249,Tefal_Знакомство с Компанией,0,2014.6.24,8,,не установлен
u740,Tefal_Знакомство с Компанией,0,2014.12.02,8,,не установлен
u1798,Tefal_Знакомство с Компанией,0,2014.5.19,8,,не установлен
u1717,Tefal_Знакомство с Компанией,0,2014.5.19,8,,не установлен
u663,Tefal_Знакомство с Компанией,0,2014.2.14,,0,u417
u663,Tefal_Знакомство с Компанией,0,2014.02.10,,0,u417
u1604,Tefal_Знакомство с Компанией,0,2014.3.31,,0,u417
u2080,Tefal_Знакомство с Компанией,0,2014.1.14,,0,u390
u1594,Tefal_Знакомство с Компанией,0,2014.1.14,,0,u390
u1891,Tefal_Знакомство с Компанией,0,2014.2.26,,0,u375
u1699,Tefal_Знакомство с Компанией,0,2014.5.19,8,,u375
u1920,Tefal_Знакомство с Компанией,0,2014.2.26,,0,u335
u1790,Tefal_Знакомство с Компанией,0,2014.2.24,,0,u335
u1790,Tefal_Знакомство с Компанией,0,2014.2.26,,0,u335
u1790,Tefal_Знакомство с Компанией,0,2014.2.24,,0,u335
u1644,Tefal_Знакомство с Компанией,0,2014.2.14,,0,u335
u1644,Tefal_Знакомство с Компанией,0,2014.02.10,,0,u335
u920,Tefal_Знакомство с Компанией,0,2014.7.14,8,,u335
u211,Tefal_Знакомство с Компанией,0,2014.11.10,8,,u335
