uid,Дата,1. Мои ежедневные обязанности соответствуют моим ожиданиям,"2. Я горжусь тем, что работаю в своей компании",3.Существующие технологии помогают мне эффективно выполнять работу,4. Решения принимаются оперативно,5. Отделы сотрудничают друг с другом эффективно,6. Внутри подразделения сотрудники оказывают друг другу необходимую поддержку,7. Мне обеспечили безопасные условия труда (рабочее место и оборудование),8. В коллективе я чувствую себя комфортно и безопасно,9. Принятие рискованных решений поощряется,10. Творческая инициатива вознаграждается,11. Я получаю достаточно необходимой для работы информации,12. Я могу свободно высказывать свое мнение,13. Обязанности между сотрудниками компании и/или отдела распределены справедливо,14. Вознаграждение за труд соответствует обязанностям,15. Мои коллеги придерживаются этических норм поведения,16. Мой начальник является образцом профессиональной этики,17. Как долго Вы планируете продолжать свою карьеру в компании?,18. Порекомендовали бы Вы своим друзьям работать в компании?,"19. Оцените нашу компанию как работодателя (от «1» - минимальная оценка, «5» - максимальная оценка)"
u1005,29.02.2012 12:01,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Затрудняюсь ответить,Частично согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Не совсем согласен,Согласен,более 5 лет,возможно да,4
u1009,20.02.2012 17:35,Согласен,Частично согласен,Частично согласен,Согласен,Частично согласен,Не совсем согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Не совсем согласен,Согласен,Частично согласен,Частично согласен,Согласен,более 5 лет,возможно да,4
u1011,01.02.2012 11:14,Частично согласен,Частично согласен,Частично согласен,Не согласен,Не согласен,Не совсем согласен,Согласен,Согласен,Затрудняюсь ответить,Затрудняюсь ответить,Не совсем согласен,Частично согласен,Не согласен,Затрудняюсь ответить,Частично согласен,Согласен,более 5 лет,возможно да,4
u1012,27.02.2012 15:02,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Не совсем согласен,Затрудняюсь ответить,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,менее 1 года,не уверен,3
u1015,01.02.2012 10:56,Согласен,Согласен,Частично согласен,Не совсем согласен,Не совсем согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Согласен,1-2 года,возможно да,4
u1016,01.02.2012 11:04,Согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Частично согласен,Согласен,Не совсем согласен,Частично согласен,Согласен,Частично согласен,Затрудняюсь ответить,Частично согласен,Частично согласен,Затрудняюсь ответить,3-5 лет,возможно да,5
u1025,16.02.2012 16:15,Согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Частично согласен,Частично согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,возможно да,5
u1026,01.02.2012 11:44,Не совсем согласен,Согласен,Согласен,Не совсем согласен,Не согласен,Частично согласен,Не согласен,Не совсем согласен,Не согласен,Не согласен,Частично согласен,Частично согласен,Частично согласен,Не совсем согласен,Частично согласен,Не совсем согласен,менее 1 года,возможно да,4
u1028,22.02.2012 9:22,Согласен,Согласен,Не совсем согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Затрудняюсь ответить,Не согласен,Согласен,Согласен,Согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,4
u1033,01.02.2012 12:09,Согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,Частично согласен,Согласен,Согласен,Согласен,более 5 лет,конечно да,5
