УИН подразделения,1. Устраивают ли Вас условия труда?,,"2. Если не устраивают условия, укажите какие:",,,,,,3. Устраивает ли Вас обеспечение рабочего места всем необходимым?,,"4. Удовлетворены ли Вы режимом работы (график работы, время перерыва, сверхурочные, командировки и т.д.)?",,5. Оплата труда соответствует Вашему трудовому вкладу?,,6. Понятны ли Вам общие критерии оценки Вашего труда?,,7. Понятна ли Вам Ваша система мотивации и система расчета премии?,,8. Считаете ли Вы Ваш заработок соответствующий среднему уровню по рынку труда?,,9. Устраивает ли Вас система поощрения лучших сотрудников?,,"10. Устраивает ли Вас система немонетарной мотивации (конкурсы, мероприятия, подарки)?",,11. Что бы Вы хотели добавить в социальный пакет или изменить в нем:,12. Вы информированы о возможностях Вашего карьерного роста?,,,13. За последний год работы с Вами кто-нибудь обсуждал возможность развития в Компании?,,,14. Можете ли Вы реализовать свои идеи в Компании?,,,,15. Ощущаете ли Вы полезность и важность Вашей работы?,,16. Есть ли у Вас потребность в повышении квалификации?,,"17. Если потребность есть, то какая:",18. Устраивают ли Вас взаимоотношения с руководством?,,"19. Знаете ли Вы к кому можно обратиться для решения проблем, кроме непосредственного руководителя?",,"20. По каким причинам, по Вашему мнению, возникают недоразумения и конфликты:",,,,,,,21. Устраивают ли Вас взаимоотношения со смежными подразделениями?,,,22. Можете ли Вы открыто высказывать непосредственному руководителю свои идеи и предложения?,,23. Признает ли руководство Ваши заслуги?,,"24. Какие, по Вашему мнению, бизнес-процессы в Компании требуют доработки:","25. Пожалуйста, назовите процессы, которые, по Вашему мнению, отлажены и не требуют доработки:",26. Что мешает повышению эффективности работы:,,,,,,,,"27. Что, по Вашему мнению, способствовало бы решению этих проблем:",,,,,28. Вы интересуетесь новостями Компании на портале?,,,29. Из каких источников Вы узнаете информацию об изменениях в компании (множественный выбор):,,,,,30. Чувствуете ли Вы себя информированным о планах и достижениях компании?,,31. Вы получаете достаточно необходимой для работы информации?,,32. Всегда ли Вы своевременно получаете информацию о качестве выполненной работы?,,"33. Понимаете ли Вы свои задачи и функции, которые от Вас ожидает руководство?",,34. Чувствуете ли Вы сопричастность к общему делу развития Компании?,,35. Удовлетворены ли Вы от процессов участия и причастности к проектам Компании?,,"36. Вы можете припомнить случай, когда при общении с партнером (клиентом) Вы проявили нестандартное решение вопроса? Пожалуйста, сообщите, в чем конкретно это заключалось:",37. Ощущаете ли Вы удовлетворенность работой в компании и уверенность в своем будущем в Компании?,,"38. Вы можете назвать свой коллектив сплоченным, объединенным общими целями, нормами поведения, ценностями?",,"39. Устраивают ли Вас взаимоотношения, сложившиеся в Вашем коллективе?",,40. Как Вы можете охарактеризовать атмосферу в коллективе:,,,,,"41. Хватает ли Вам неформального общения с коллегами, обмена мнениями, интересами?",,"42. Какие традиции и правила Компании для Вас ценны, приняты Вами:",43. Какие ценности Компани вами приняты:,,,,,"44. Пожалуйста, оцените в целом уровень корпоративной культуры в Компании по 5-тибальной шкале:",,,,,"45. Пожалуйста, оцените Компанию Чайникофф в качестве работодателя по 5-тибальной шкале:",,,,
3249ca87-fca4-11e1-be8a-001b789beaf2,Да,Нет,расположение (магазина/офиса/производства),шум,"освещенность, температура, чистота помещений","иное, укажите какое",все устраивает,Комментарий,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,расширить список мед учреждений по ДМС,Да,Нет,Мне неинтересно,Да,Нет,Моя должность не предполагает развития в Компании,Да,Нет,"Если да, то через какой инструмент:",Комментарий,Да,Нет,Да,Нет,Комментарий,Да,Нет,Да,Нет,грубость руководства,невнимательное отношение к сотрудникам,необоснованное изменение обязанностей,несправедливое распределение зарплаты,невозможность роста,частые переработки,неорганизованность процессов,Да,Нет,Устраивает с некоторыми,Да,Нет,Да,Нет,,,некомпетентность руководства,отсутствие самостоятельности,низкий профессиональный уровень сотрудников,однообразие и узкость круга задач,формальное отношение к своим обязанностям сотрудников,низкий уровень автоматизации,размытые зоны ответственности,Комментарий,кадровые перестановки,повышение оплаты труда,внимание к нуждам сотрудников,повышение заинтересованности в общем результате,возможность дополнительного обучения,Да,Нет,Нет технической возможности,портал,руководитель,доска объявлений,коллеги,журнал,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,Да,Нет,,Да,Нет,Да,Нет,Да,Нет,деловая,товарищеская,дружеская,"иное, укажите какое:",Комментарий,Да,Нет,,Доброжелательность,Открытость,Сопричастность,Постоянное развитие,Ответственность,1,2,3,4,5,1,2,3,4,5
,222,30,8,7,33,20,189,112,240,12,218,34,179,73,230,22,235,17,170,82,190,62,200,52,111,234,13,5,180,62,10,164,77,11,111,243,9,172,80,0,246,6,236,16,4,25,19,21,5,14,164,194,6,52,248,4,229,23,112,112,25,39,47,47,75,96,82,0,25,109,114,172,103,245,6,1,245,223,55,186,152,229,23,224,28,200,52,248,4,240,12,223,29,112,197,55,241,11,247,5,79,85,72,16,111,218,34,113,228,213,209,218,225,1,4,22,104,121,1,1,16,100,134
129b8a1d-9db9-11e2-9998-001b789beaf2,1,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,ничего,1,,,1,,,1,,,,1,,1,,нет грани совершенству!!!!,1,,1,,,,,,,,1,1,,,1,,1,,маркетинг,"в основном,все процессы отлажены,либо дорабатываюся",,,,,1,,,,,,,1,,1,,,1,1,,,1,1,,1,,1,,1,,1,,1,,"Такого случая не вспомню.Но помню покупательницу,которая подбирала подарок для дочки.Денег было мало.В итоге был подобран подарок и дочке,и сыночку.Как потом выяснилось,ее приемным детишкам из дет.дома. Покупательница осталась довольна.Распрощались со слезами на глазах.",1,,1,,1,,1,,,,добрая,1,,правила корпоративного поведения и деловой этики,1,1,1,1,1,,,,,1,,,,,1
54fd231a-0fb5-11e3-b1ba-ac162d794eee,,1,,,1,,,,1,,,1,1,,1,,1,,1,,,1,,1,--,1,,,1,,,,1,,,1,,,1,--,1,,1,,,,1,,,,,1,,,1,,1,,--,--,,,,,,1,,,,1,1,1,,1,,,1,1,,1,1,,1,1,,1,,1,,1,,1,,--,1,,1,,1,,,,1,,,1,,--,1,1,1,1,1,,,,,1,,,,,1
dd63a718-6cfc-11e0-a872-001b789beaf2,1,,1,,,,,Нет бесплатной парковки,1,,1,,1,,1,,1,,1,,1,,1,,"В немонетарную мотивацию хотелось бы добавить различные выгоды и лояльности у партнеров, скидки, акции. Фитнес. Поздравления с различными праздниками.",1,,,1,,,1,,,-,1,,1,,Рада любому обучению,1,,1,,,,1,,,,,1,,,1,,,1,-,-,,,,,,1,,,,1,1,,1,1,,,1,,,1,1,1,,1,,1,,1,,1,,1,,,1,,1,,1,,,,1,,,,1,Карпоративы и т.д.,1,1,1,1,1,,,1,,,,,,,1
a6470039-ef6b-11e2-8bd0-ac162d794eee,1,,,,,,1,все устраивает,1,,1,,1,,1,,1,,1,,1,,1,,все устраивает,1,,,1,,,1,,,Стараюсь быть полезной,1,,1,,Обучаться дальше,1,,1,,,1,,,,,,1,,,1,,1,,никакие,все,,,,,1,,,,,,,1,1,1,,,1,1,,1,1,1,,1,,1,,1,,1,,1,,нет,1,,1,,1,,,1,,,У нас все хорошо!,1,,все,1,1,1,1,1,,,,,1,,,,,1
dd63a730-6cfc-11e0-a872-001b789beaf2,1,,,,,1,,"Плохое освещение в основном торговом зале, жалобы покупателей на слабое освещение.",1,,1,,1,,1,,1,,1,,1,,1,,Всё удовлетворительно .,1,,,1,,,1,,,,1,,1,,Курс Английского языка.,1,,1,,,,,,,,1,1,,,1,,1,,-,Корпоративный Портал.,,1,,,,,,,,,,,1,1,,,1,1,,,1,1,,1,,1,,1,,1,,1,,затрудняюсь,1,,1,,1,,1,,,,,1,,День Компании Чайникофф!!!,1,1,1,1,1,,,,,1,,,,,1
dd63a72f-6cfc-11e0-a872-001b789beaf2,,1,,,,1,,отсутствие переиндексации зарплаты (как минимум за последние 5 лет) при увеличении работы после открытия новых торговых точек,,1,1,,,1,,1,,1,,1,,1,1,,меня всё устраивает,1,,,,,1,,1,,,1,,1,,курсы повышения квалификации,,1,1,,,,,,,,1,,,1,1,,,1,затрудняюсь ответить,затрудняюсь ответить,,,1,,,,,,,1,,1,1,1,,,1,,,1,,1,,,1,,1,1,,1,,1,,затрудняюсь ответить,,1,1,,1,,,,1,,,1,,затрудняюсь ответить,,,,,1,,,,1,,,,,1,
f4c44f9a-6f04-11e0-a872-001b789beaf2,,1,,,1,,,"Когда на улице минусовая температура, в магазине очень холодно.",1,,1,,1,,1,,1,,1,,1,,,1,"Хотелось бы, чтобы всем магазинам давали подарки, а то на Новый год детские подарки получили не все магазины.",1,,,1,,,,1,,,1,,1,,Научиться работе управляющего,1,,1,,,,,,,,1,1,,,1,,1,,-,-,1,,1,,,,,,,1,1,1,,1,,,1,1,,1,,1,,1,,1,,1,,1,,1,,"После пересчета всех скидок у клиента не хватало 100 рублей для совершения крупной покупки , добавила свои деньги. Вопрос был решен, покупку была произведена.",1,,1,,1,,,,1,,-,1,,-,1,1,1,1,1,,,,1,,,,,1,
18b99ef2-6f19-11e0-a872-001b789beaf2,1,,,,,,1,,1,,1,,,1,,1,1,,,1,,1,1,,оплата мобильного телефона,1,,,,1,,,1,,,1,,,1,нет,1,,1,,,,,,,,1,,,1,1,,,1,передача информации от однлгл подразделения другому,производство,,,,,1,,1,,,,,1,,1,,,1,,,1,,1,,1,,1,,1,,1,,1,,в моей работе трудно поставить грань между стандартным и нестандартным,1,,1,,1,,1,,,,,1,,вовлеченность в общее дело,,,1,,,,,,1,,,,1,,
