uid,всего,event,lib,course,test
u995,1,1,0,0,0
u987,3,1,1,1,0
u985,1,1,0,0,0
u983,1,1,0,0,0
u978,1,1,0,0,0
u976,2,2,0,0,0
u973,1,1,0,0,0
u970,1,1,0,0,0
u97,2,1,0,1,0
u966,1,1,0,0,0
u964,1,1,0,0,0
u962,4,4,0,0,0
u961,2,2,0,0,0
u960,2,2,0,0,0
u96,1,1,0,0,0
u957,1,1,0,0,0
u947,1,1,0,0,0
u939,1,1,0,0,0
u938,2,2,0,0,0
u934,1,1,0,0,0
u933,1,1,0,0,0
u931,1,1,0,0,0
u929,1,1,0,0,0
u928,1,1,0,0,0
u926,1,1,0,0,0
u922,1,1,0,0,0
u921,1,1,0,0,0
u914,1,1,0,0,0
u913,1,1,0,0,0
u911,1,1,0,0,0
u91,1,1,0,0,0
u908,1,1,0,0,0
u907,3,3,0,0,0
u894,1,1,0,0,0
u884,1,1,0,0,0
u882,1,1,0,0,0
u880,1,1,0,0,0
u88,1,1,0,0,0
u872,1,1,0,0,0
u866,1,1,0,0,0
u865,4,4,0,0,0
u861,3,3,0,0,0
u859,1,1,0,0,0
u858,1,1,0,0,0
u856,1,1,0,0,0
u854,2,2,0,0,0
u845,1,1,0,0,0
u844,1,1,0,0,0
u841,2,2,0,0,0
u839,1,1,0,0,0
u838,1,1,0,0,0
u834,1,1,0,0,0
u830,1,1,0,0,0
u825,1,1,0,0,0
u824,3,3,0,0,0
u820,3,3,0,0,0
u817,1,1,0,0,0
u816,2,2,0,0,0
u814,1,1,0,0,0
u811,1,0,1,0,0
u806,2,2,0,0,0
u804,1,1,0,0,0
u803,1,1,0,0,0
u801,1,1,0,0,0
u800,1,1,0,0,0
u799,2,2,0,0,0
u798,2,2,0,0,0
u797,1,1,0,0,0
u796,1,1,0,0,0
u793,2,2,0,0,0
u79,1,1,0,0,0
u789,1,1,0,0,0
u788,3,3,0,0,0
u783,1,1,0,0,0
u780,1,1,0,0,0
u778,1,1,0,0,0
u776,2,2,0,0,0
u769,1,1,0,0,0
