uid,всего комментариев сделал сколько,создано тем,сообщение,получено ответов
u799,2,0,2,4
u762,1,0,1,1
u639,5,2,3,4
u515,1,1,0,0
u46,1,1,0,0
u438,2,0,2,2
u426,1,1,0,0
u421,2,0,2,4
u417,2,1,1,1
u390,3,0,3,3
u335,3,0,3,4
u299,1,0,1,2
u25,1,1,0,0
u2098,1,1,0,0
u2065,4,1,3,6
u1990,3,0,3,3
u1972,7,0,7,16
u1965,2,1,1,1
u1962,1,1,0,0
u1959,1,1,0,0
u1956,1,1,0,0
u1946,2,0,2,7
u189,1,0,1,1
u1880,1,0,1,3
u1833,1,1,0,0
u1599,1,1,0,0
u1548,1,0,1,1
u14,1,0,1,3
u1351,3,1,2,3
u1338,2,2,0,0
u1305,1,1,0,0
u1211,3,1,2,3
u1190,1,0,1,1
u110,1,1,0,0
u10,1,0,1,1
